Complaint,Category,Urgency
I didn’t approve this transaction. despite following all instructions,Payments,Low
Billing and shipping addresses keep getting swapped. which is unacceptable,Account & Shipping,High
My tracking shows 'label created' for 5 days with no movement. — this is very frustrating,Order Tracking,Immediate
It says 'Buy 1 Get 1 Free' but I was charged for both items. and it's really disappointing,Promotions,Medium
I can’t change my shipping method after ordering. even after multiple attempts,Account & Shipping,Immediate
The zipper broke the first time I used the bag. and I don't know what to do next,Product Issues,Low
The discount code I got by email doesn’t work on any items. and it's really disappointing,Promotions,Medium
Search results don’t load anything anymore. despite following all instructions,Technical Issues,Immediate
"Referral code said $10 off, but it did nothing. which is unacceptable",Promotions,High
I received store credit instead of a cash refund I requested. please fix this ASAP,Refunds,High
I want a refund but there's no option in the return menu. which is unacceptable,Refunds,High
I didn’t approve this transaction. and there's no explanation anywhere,Payments,Immediate
Wrong items delivered — not even close to what I ordered. and I need help urgently,Order Issues,Low
It shipped to the wrong apartment. and there's no explanation anywhere,Account & Shipping,Immediate
Instructions were unclear and impossible to follow. which is unacceptable,Product Issues,Low
I updated my address but order still went to the old one. and I need help urgently,Account & Shipping,Medium
I want a refund but there's no option in the return menu. and I need help urgently,Refunds,Medium
Shipping info shows a state I don’t live in. which is unacceptable,Account & Shipping,Immediate
Missing accessories from the package.,Product Issues,Immediate
The courier lost my order — I need a replacement ASAP. and it's really disappointing,Order Tracking,Medium
I never got tracking info in the first place. despite following all instructions,Order Tracking,Low
Still waiting for confirmation that my refund is being processed. which is unacceptable,Refunds,Medium
Used Apple Pay — no order confirmation received. and I don't know what to do next,Payments,Immediate
My loyalty points are missing even after multiple purchases. and there's no explanation anywhere,Promotions,Low
"Tracking says delivered, but nothing is at my door. — this is very frustrating",Order Tracking,Immediate
Your support team said I’d get refunded — it's been a week. which is unacceptable,Refunds,Immediate
Only part of my order arrived — the rest is missing. and it's really disappointing,Order Issues,Medium
Duplicate orders were placed by mistake and I can't cancel. please fix this ASAP,Order Issues,Immediate
Can’t apply filters while browsing products. even after multiple attempts,Technical Issues,High
Flash sale prices aren’t reflected during checkout. please fix this ASAP,Promotions,Immediate
"Bank says payment went through, you say it didn’t. and I need help urgently",Payments,Low
"Referral code said $10 off, but it did nothing. and there's no explanation anywhere",Promotions,Immediate
Wrong items delivered — not even close to what I ordered. please fix this ASAP,Order Issues,High
Your support team said I’d get refunded — it's been a week. and it's really disappointing,Refunds,Low
Shipping info shows a state I don’t live in. — this is very frustrating,Account & Shipping,Medium
Missing accessories from the package. and it's really disappointing,Product Issues,Immediate
Flash sale prices aren’t reflected during checkout. and I don't know what to do next,Promotions,Medium
I was charged twice for the same item. and I don't know what to do next,Payments,Low
App is extremely slow today. even after multiple attempts,Technical Issues,Low
One side of the headphones doesn't work. despite following all instructions,Product Issues,High
"Referral code said $10 off, but it did nothing. — this is very frustrating",Promotions,Immediate
Transaction failed but my card got debited anyway. please fix this ASAP,Payments,Immediate
The app froze during checkout and now my cart is empty. and I need help urgently,Technical Issues,Low
Wrong items delivered — not even close to what I ordered. and it's really disappointing,Order Issues,Immediate
It looks like a returned item — packaging was already opened. even after multiple attempts,Product Issues,Medium
Can’t reset my password — reset link doesn’t work. please fix this ASAP,Account & Shipping,Low
My order shows 'fulfilled' but I never received it. even after multiple attempts,Order Issues,High
"The box arrived empty, just packing materials. and I don't know what to do next",Order Issues,Immediate
There’s a mystery fee added to my final bill. even after multiple attempts,Payments,Low
There’s a mystery fee added to my final bill. and it's really disappointing,Payments,Medium
The item arrived broken and unusable. — this is very frustrating,Product Issues,Immediate
I received store credit instead of a cash refund I requested. which is unacceptable,Refunds,High
Only part of my order arrived — the rest is missing. — this is very frustrating,Order Issues,Immediate
It looks like a returned item — packaging was already opened. despite following all instructions,Product Issues,Immediate
I paid for express delivery and it’s still not shipped. and it's really disappointing,Order Tracking,Low
My tracking shows 'label created' for 5 days with no movement. even after multiple attempts,Order Tracking,Medium
I can’t change my shipping method after ordering. and it's really disappointing,Account & Shipping,Immediate
It keeps saying my email is invalid. — this is very frustrating,Account & Shipping,Low
I clicked on a 15% off ad and it vanished at checkout. — this is very frustrating,Promotions,Immediate
Why was one of my items refunded without asking? and it's really disappointing,Order Issues,Immediate
I got charged but no confirmation email came through. and I don't know what to do next,Order Issues,Low
The colors in the product photos are completely misleading. please fix this ASAP,Product Issues,Immediate
Everything came except the most expensive item I paid for. and it's really disappointing,Order Issues,Medium
I updated my address but order still went to the old one. — this is very frustrating,Account & Shipping,High
Search results don’t load anything anymore. and it's really disappointing,Technical Issues,Medium
Everything came except the most expensive item I paid for. and there's no explanation anywhere,Order Issues,High
The discount code I got by email doesn’t work on any items. despite following all instructions,Promotions,Low
My order shows 'fulfilled' but I never received it. which is unacceptable,Order Issues,Medium
The site accepted my payment but shows no order. despite following all instructions,Payments,Low
I didn’t approve this transaction. which is unacceptable,Payments,Low
Your system rejected my student discount for no reason. and I need help urgently,Promotions,Low
Can’t reset my password — reset link doesn’t work. even after multiple attempts,Account & Shipping,Low
Why was a restocking fee deducted from my refund? and I need help urgently,Refunds,High
The site accepted my payment but shows no order. and there's no explanation anywhere,Payments,Immediate
The zipper broke the first time I used the bag. despite following all instructions,Product Issues,High
"I used a valid code and it applied, but was later removed. despite following all instructions",Promotions,High
My tracking shows 'label created' for 5 days with no movement. and it's really disappointing,Order Tracking,Immediate
The shipping company marked it as delivered to the wrong city. even after multiple attempts,Order Tracking,High
One side of the headphones doesn't work. and I don't know what to do next,Product Issues,High
I returned everything and only got a partial refund. despite following all instructions,Refunds,Low
This isn't what I ordered — it’s the wrong model. despite following all instructions,Product Issues,Medium
I paid for express delivery and it’s still not shipped. which is unacceptable,Order Tracking,Low
It has a foul odor like chemicals. and I don't know what to do next,Product Issues,High
I never received the promised sign-up bonus. despite following all instructions,Promotions,Low
The shipping company marked it as delivered to the wrong city. and I don't know what to do next,Order Tracking,High
"You're advertising free shipping, but I'm being charged for it. and I need help urgently",Promotions,Low
Package was rerouted without telling me. which is unacceptable,Order Tracking,Low
Why was one of my items refunded without asking? — this is very frustrating,Order Issues,Medium
Your system rejected my student discount for no reason. despite following all instructions,Promotions,Low
"The return was delivered, but no refund yet. and it's really disappointing",Refunds,High
Can’t apply filters while browsing products.,Technical Issues,Low
I never got tracking info in the first place. which is unacceptable,Order Tracking,Immediate
I never got tracking info in the first place.,Order Tracking,Medium
Why do I need to re-verify my ID again? — this is very frustrating,Account & Shipping,Immediate
It has a foul odor like chemicals. despite following all instructions,Product Issues,High
It has a foul odor like chemicals. and there's no explanation anywhere,Product Issues,Low
"The box arrived empty, just packing materials. which is unacceptable",Order Issues,Medium
I received store credit instead of a cash refund I requested. and there's no explanation anywhere,Refunds,Immediate
Error message keeps popping up during login. and there's no explanation anywhere,Technical Issues,Immediate
Instructions were unclear and impossible to follow.,Product Issues,Low
There are defects in the stitching of this garment. and there's no explanation anywhere,Product Issues,Immediate
"The return was delivered, but no refund yet. — this is very frustrating",Refunds,Low
System declined my payment without any reason. and I need help urgently,Payments,Immediate
Site logs me out randomly. despite following all instructions,Technical Issues,High
The item arrived broken and unusable. despite following all instructions,Product Issues,High
I clicked on a 15% off ad and it vanished at checkout. and I need help urgently,Promotions,Immediate
Missing accessories from the package. and there's no explanation anywhere,Product Issues,Low
The zipper broke the first time I used the bag. even after multiple attempts,Product Issues,Medium
The site accepted my payment but shows no order. — this is very frustrating,Payments,Low
Error message keeps popping up during login. which is unacceptable,Technical Issues,Low
Can’t apply filters while browsing products. — this is very frustrating,Technical Issues,Low
My entire order was canceled without explanation. and I don't know what to do next,Order Issues,Immediate
The zipper broke the first time I used the bag. and I need help urgently,Product Issues,Medium
I returned everything and only got a partial refund. please fix this ASAP,Refunds,Medium
Items in the box were clearly tossed around and damaged. and it's really disappointing,Order Issues,Low
"You're advertising free shipping, but I'm being charged for it. which is unacceptable",Promotions,Low
Can’t apply filters while browsing products. please fix this ASAP,Technical Issues,High
Website crashes every time I add to cart. and I need help urgently,Technical Issues,Medium
Items in the box were clearly tossed around and damaged.,Order Issues,Medium
It keeps saying my email is invalid. despite following all instructions,Account & Shipping,High
I returned everything and only got a partial refund. and I need help urgently,Refunds,Medium
There’s a mystery fee added to my final bill. and I need help urgently,Payments,Immediate
Site logs me out randomly. even after multiple attempts,Technical Issues,High
I never got tracking info in the first place. and it's really disappointing,Order Tracking,High
You promised a refund 10 days ago — still nothing in my account. and it's really disappointing,Refunds,High
Search results don’t load anything anymore.,Technical Issues,High
"I used a valid code and it applied, but was later removed. even after multiple attempts",Promotions,Low
My entire order was canceled without explanation. please fix this ASAP,Order Issues,Low
I can’t change my shipping method after ordering. and there's no explanation anywhere,Account & Shipping,Immediate
Site logs me out randomly. and I need help urgently,Technical Issues,High
Account suddenly locked for no reason. and I don't know what to do next,Account & Shipping,High
Checkout button is unresponsive.,Technical Issues,Medium
Account suddenly locked for no reason. which is unacceptable,Account & Shipping,High
Only part of my order arrived — the rest is missing. which is unacceptable,Order Issues,High
"The box arrived empty, just packing materials. and it's really disappointing",Order Issues,Medium
You refunded the wrong amount. despite following all instructions,Refunds,Immediate
My tracking shows 'label created' for 5 days with no movement. and there's no explanation anywhere,Order Tracking,Medium
My entire order was canceled without explanation. and it's really disappointing,Order Issues,Low
Account suddenly locked for no reason. please fix this ASAP,Account & Shipping,High
I never received the promised sign-up bonus. please fix this ASAP,Promotions,Medium
I can’t add a new address — button does nothing. — this is very frustrating,Account & Shipping,Low
Error message keeps popping up during login. — this is very frustrating,Technical Issues,Immediate
Can’t apply filters while browsing products. and I don't know what to do next,Technical Issues,Medium
I didn’t approve this transaction. please fix this ASAP,Payments,Medium
I was charged twice for the same item. despite following all instructions,Payments,Immediate
Can’t reset my password — reset link doesn’t work. and I don't know what to do next,Account & Shipping,Immediate
One side of the headphones doesn't work. please fix this ASAP,Product Issues,Immediate
"I used a valid code and it applied, but was later removed. please fix this ASAP",Promotions,Medium
"Credit card charged twice for single order","Payments",Immediate
"Payment declined despite sufficient funds","Payments",High
"Refund processed but not received after 14 days","Payments",Medium
"Bank shows pending charge but no order confirmation","Payments",Immediate
"Recurring subscription charged after cancellation","Payments",High
"Currency conversion fee higher than advertised","Payments",Medium
"PayPal payment failed but amount deducted from account","Payments",Immediate
"Partial refund missing from credit card statement","Payments",Medium
"Saved payment method charged instead of new card","Payments",High
"Duplicate authorization holds on debit card","Payments",Immediate
"Checkout shows 'payment successful' but order not created","Payments",High
"International transaction declined without reason","Payments",Medium
"Gift card balance shows zero after purchase","Payments",Immediate
"Payment processor added unexpected service fee","Payments",High
"Credit card fraud alert triggered incorrectly","Payments",Medium
"ACH transfer reversed without notification","Payments",Immediate
"Wallet balance not applied during checkout","Payments",High
"Payment method removed from account without consent","Payments",Medium
"Dynamic currency conversion rate was unfair","Payments",Immediate
"Split payment option failed mid-transaction","Payments",High
"Declined card works on other websites","Payments",Medium
"Recurring payment date changed without notice","Payments",Immediate
"Refund issued to wrong payment method","Payments",High
"3D Secure verification failed repeatedly","Payments",Medium
"Payment gateway timeout caused duplicate charge","Payments",Immediate
"Bank chargeback incorrectly denied","Payments",High
"Stored card information expired but still charged","Payments",Medium
"Mobile payment app scan failed at checkout","Payments",Immediate
"Partial capture of authorized amount missing","Payments",High
"Payment processor held funds for 30+ days","Payments",Medium
"Checkout auto-selected premium payment method","Payments",Immediate
"Family account shared payment without approval","Payments",High
"Currency fluctuation made final charge higher","Payments",Medium
"Payment confirmation email never arrived","Payments",Immediate
"Virtual terminal transaction disappeared","Payments",High
"Payment method limit reached incorrectly","Payments",Medium
"Pre-authorized charge never finalized","Payments",Immediate
"Cross-border fee not disclosed during checkout","Payments",High
"Payment plan installment failed automatically","Payments",Medium
"Digital wallet payment showed error but went through","Payments",Immediate
"Charge appeared in wrong currency","Payments",High
"Payment processor account suddenly suspended","Payments",Medium
"Recurring payment amount increased secretly","Payments",Immediate
"One-click checkout charged wrong card","Payments",High
"Payment dispute evidence submission failed","Payments",Medium
"Bank blocked legitimate e-commerce transaction","Payments",Immediate
"Payment method verification charge not refunded","Payments",High
"Checkout showed different amount than charged","Payments",Medium
"Payment link expired before completion","Payments",Immediate
"Subscription payment skipped billing cycle","Payments",High
"Payment processor changed exchange rate unfairly","Payments",Medium
"Digital payment receipt contains errors","Payments",Immediate
"Auto-pay attempted after cancellation","Payments",High
"Payment method country restriction not stated","Payments",Medium
"Charge appeared under different merchant name","Payments",Immediate
"Payment authorization held too long","Payments",High
"Partial payment option disappeared at checkout","Payments",Medium
"Payment failure message didn't explain reason","Payments",Immediate
"Recurring payment interval changed secretly","Payments",High
"Payment processor account access suddenly lost","Payments",Medium
"Checkout forced currency conversion unnecessarily","Payments",Immediate
"Payment method update didn't save properly","Payments",High
"Bank charged international fee despite local vendor","Payments",Medium
"Payment retry system created duplicate orders","Payments",Immediate
"Refund receipt shows wrong amount","Payments",High
"Payment processor limited account without cause","Payments",Medium
"Virtual credit card declined without reason","Payments",Immediate
"Payment agreement terms changed retroactively","Payments",High
"Checkout didn't honor payment method discount","Payments",Medium
"Payment verification step never completed","Payments",Immediate
"Recurring payment failed but service continues","Payments",High
"Payment processor froze funds during dispute","Payments",Medium
"Bank statement shows unclear merchant descriptor","Payments",Immediate
"Payment method removed after failed attempt","Payments",High
"Partial refund calculation was incorrect","Payments",Medium
"Payment authorization expired too quickly","Payments",Immediate
"Digital payment app showed success but failed","Payments",High
"Payment processor rejected valid ID verification","Payments",Medium
"Charge appeared from unknown subsidiary","Payments",Immediate
"Payment plan terms changed without consent","Payments",High
"Checkout page displayed wrong payment options","Payments",Medium
"Payment failure due to address mismatch","Payments",Immediate
"Recurring payment reminder never sent","Payments",High
"Payment processor applied wrong tax jurisdiction","Payments",Medium
"Bank reversed legitimate e-commerce payment","Payments",Immediate
"Payment method icon showed incorrectly","Payments",High
"Refund status shows complete but money missing","Payments",Medium
"Payment gateway connection failed repeatedly","Payments",Immediate
"Subscription payment method update didn't save","Payments",High
"Payment processor charged incorrect conversion","Payments",Medium
"Checkout forced payment method registration","Payments",Immediate
"Payment authorization disappeared from history","Payments",High
"Bank charged cash advance fee incorrectly","Payments",Medium
"Payment retry caused overdraft fee","Payments",Immediate
"Refund to original payment method not possible","Payments",High
"Payment processor demanded unnecessary KYC","Payments",Medium
"Virtual terminal transaction lacked details","Payments",Immediate
"Payment plan auto-changed to higher amount","Payments",High
"Checkout didn't show payment processor fees","Payments",Medium
"Payment method country verification failed","Payments",Immediate
"Tracking shows 'delivered' but nothing received","Order Tracking",Immediate
"No tracking number provided after 5 business days","Order Tracking",High
"Tracking stuck on 'label created' for 1 week","Order Tracking",Medium
"Carrier website says 'invalid tracking number'","Order Tracking",High
"Package marked delivered to wrong city/state","Order Tracking",Immediate
"Tracking status hasn't updated in 10+ days","Order Tracking",Medium
"Received someone else's tracking number","Order Tracking",High
"Multiple items show same tracking number","Order Tracking",Immediate
"Tracking shows 'return to sender' without reason","Order Tracking",High
"Delivery date changed 5 times in system","Order Tracking",Medium
"Tracking link goes to wrong carrier website","Order Tracking",Low
"International package stuck at customs without updates","Order Tracking",High
"Tracking shows 'delivery attempted' but no notice left","Order Tracking",Medium
"Order marked 'shipped' but carrier hasn't received it","Order Tracking",High
"Two tracking numbers for same order show different statuses","Order Tracking",Immediate
"Tracking shows 'out for delivery' for 3 days","Order Tracking",Medium
"Customer received package but tracking shows 'pending'","Order Tracking",High
"Tracking number from merchant doesn't work with carrier","Order Tracking",Immediate
"Package scanned at wrong distribution center","Order Tracking",Medium
"Delivery exception noted but no explanation","Order Tracking",High
"Tracking shows 'in transit' for 2 weeks with no location","Order Tracking",Medium
"Received tracking email but order shows 'unfulfilled'","Order Tracking",High
"Carrier claims package delivered but security cameras show nothing","Order Tracking",Immediate
"Tracking shows 'delivered to agent' but no agent exists","Order Tracking",High
"Multiple packages merged under one tracking without notice","Order Tracking",Medium
"Tracking status in app contradicts carrier website","Order Tracking",High
"Delivery date passed with no tracking updates","Order Tracking",Immediate
"Tracking shows 'held at location' but no location given","Order Tracking",High
"Package scanned as 'delivered' 24 hours before actual delivery","Order Tracking",Medium
"International tracking stops at border crossing","Order Tracking",High
"Order marked 'complete' but never shipped","Order Tracking",Immediate
"Tracking shows 'returned' but customer didn't request return","Order Tracking",High
"Carrier website shows different weight than ordered item","Order Tracking",Medium
"Delivery notification received for wrong address","Order Tracking",High
"Tracking shows 'damaged' but no contact from carrier","Order Tracking",Immediate
"Package scanned at same location 5 days in a row","Order Tracking",Medium
"Express shipping shows no better progress than standard","Order Tracking",High
"Tracking number recycled from previous order","Order Tracking",Medium
"Delivery timeframe window missed by 3+ days","Order Tracking",High
"Tracking shows 'weather delay' but no weather issues","Order Tracking",Immediate
"Signature confirmation required but driver didn't collect","Order Tracking",High
"Package dimensions in tracking don't match order","Order Tracking",Medium
"Tracking shows 'delivered to mailbox' but no mailbox exists","Order Tracking",High
"Order status changed from 'delivered' back to 'in transit'","Order Tracking",Immediate
"Carrier claims 'business closed' but business was open","Order Tracking",High
"Tracking shows 'delivered to front door' for apartment building","Order Tracking",Medium
"Delivery exception for 'invalid address' but address is correct","Order Tracking",High
"Package shows 'out for delivery' in wrong timezone","Order Tracking",Immediate
"Tracking updates only show country-level location","Order Tracking",Medium
"Delivery notification came 2 days after actual delivery","Order Tracking",High
"Tracking shows 'pending' but customer received item","Order Tracking",Medium
"Carrier marked package 'undeliverable' without attempt","Order Tracking",High
"Order status says 'shipped' but no tracking available","Order Tracking",Immediate
"Tracking shows 'delivered to parcel locker' but no code provided","Order Tracking",High
"Package scanned at destination facility then disappeared","Order Tracking",Medium
"Delivery timeframe promised by merchant doesn't match carrier","Order Tracking",High
"Tracking shows 'in transit' but carrier confirms lost","Order Tracking",Immediate
"Signature required but package left with unauthorized person","Order Tracking",High
"Tracking shows 'delivered' but recipient was on vacation","Order Tracking",Medium
"Multiple tracking numbers for single order don't correlate","Order Tracking",High
"Carrier attempted delivery outside business hours","Order Tracking",Immediate
"Tracking shows 'delivered to neighbor' but no neighbor has it","Order Tracking",High
"Package weight in tracking shows zero pounds","Order Tracking",Medium
"Delivery notification lists wrong carrier","Order Tracking",High
"Tracking shows 'exception' but no details provided","Order Tracking",Immediate
"Order marked 'shipped' but merchant admits not shipped","Order Tracking",High
"Package scanned at facility 500 miles from destination daily","Order Tracking",Medium
"Tracking shows 'delivery attempted' but no doorbell rang","Order Tracking",High
"Delivery date changed after cutoff time passed","Order Tracking",Immediate
"Carrier claims 'recipient refused' but no attempt made","Order Tracking",High
"Tracking shows 'forwarded' but customer didn't request","Order Tracking",Medium
"Package scanned as 'sorted' then no updates for 1 week","Order Tracking",High
"Delivery timeframe given by customer service was false","Order Tracking",Immediate
"Tracking shows 'on vehicle' for 4 consecutive days","Order Tracking",High
"Carrier website shows delivery to wrong zip code","Order Tracking",Medium
"Order status changed to 'delivered' before shipping","Order Tracking",High
"Tracking shows 'inbound to customs' for 3 weeks","Order Tracking",Immediate
"Delivery notification lists wrong product description","Order Tracking",High
"Package shows 'returned to sender' while in transit","Order Tracking",Medium
"Tracking updates only appear after delivery occurs","Order Tracking",High
"Carrier left package in unsecured location despite instructions","Order Tracking",Immediate
"Tracking shows 'delivered' but signature doesn't match","Order Tracking",High
"Delivery exception for 'animal interference' in high-rise building","Order Tracking",Medium
"Package scanned at origin facility then no updates","Order Tracking",High
"Order status says 'shipped' but merchant can't provide tracking","Order Tracking",Immediate
"Tracking shows 'delivered to dock' at residential address","Order Tracking",High
"Carrier marked 'delivery attempted' during known absence","Order Tracking",Medium
"Package shows 'out for delivery' in wrong state","Order Tracking",High
"Delivery notification lists incorrect recipient name","Order Tracking",Immediate
"Tracking shows 'held for future delivery date' without request","Order Tracking",High
"Carrier claims 'secure location' but package was stolen","Order Tracking",Medium
"Package scanned as 'loaded on wrong truck' repeatedly","Order Tracking",High
"Order status changed to 'lost' after delivery timeframe","Order Tracking",Immediate
"Tracking shows 'delivered to parcel room' but none exists","Order Tracking",High
"Delivery exception for 'missing apartment number' when provided","Order Tracking",Medium
"Package shows 'in transit' while return refund processed","Order Tracking",High
"Tracking updates show impossible location jumps","Order Tracking",Immediate
"Carrier marked 'delivered to receptionist' at home address","Order Tracking",High
"Order status says 'delivered' but weight shows empty package","Order Tracking",Medium
"Tracking shows 'available for pickup' at wrong location","Order Tracking",High
"Delivery notification came before shipping confirmation","Order Tracking",Immediate
"Package scanned 'left at front desk' but no desk exists","Order Tracking",High
"Carrier claims 'delivered to household member' but lives alone","Order Tracking",Medium
"Tracking shows 'on hold' but no reason given","Order Tracking",High
"Order status says 'shipped' but carrier has no record","Order Tracking",Immediate
"Subscription auto-renewed after cancellation","Subscriptions",Immediate
"Free trial converted to paid without warning","Subscriptions",High
"Can't find cancellation option in account","Subscriptions",Medium
"Charged annual rate when monthly was selected","Subscriptions",Immediate
"Renewal price increased without notification","Subscriptions",High
"Subscription renewed 3 days before expiration","Subscriptions",Medium
"Canceled but still have access to service","Subscriptions",High
"Account shows 'active' after cancellation","Subscriptions",Immediate
"Charged during cooling-off period","Subscriptions",High
"Auto-renewal toggle resets itself","Subscriptions",Medium
"Subscription renewed while paused","Subscriptions",High
"Payment failed but service wasn't suspended","Subscriptions",Medium
"Charged for premium tier after downgrade","Subscriptions",Immediate
"Cancelation requires phone call only","Subscriptions",High
"Auto-renewal terms changed without notice","Subscriptions",Medium
"Subscription renewed after refund request","Subscriptions",High
"Free trial required credit card upfront","Subscriptions",Immediate
"Charged before free trial ended","Subscriptions",High
"Cancelation page gives 404 error","Subscriptions",Medium
"Renewal receipt sent to wrong email","Subscriptions",High
"Subscription renewed with expired card","Subscriptions",Immediate
"Account says 'canceled' but still charged","Subscriptions",High
"Auto-renewal date changes automatically","Subscriptions",Medium
"Charged annual when canceling monthly","Subscriptions",High
"Trial period shortened without notice","Subscriptions",Immediate
"Subscription restarted after 6 months","Subscriptions",High
"Cancelation requires submitting ID","Subscriptions",Medium
"Auto-renewal turned back on after update","Subscriptions",High
"Charged during grace period","Subscriptions",Immediate
"Free trial counted as first payment","Subscriptions",High
"Subscription renewed after chargeback","Subscriptions",Medium
"Cancelation button hidden in settings","Subscriptions",High
"Auto-renewal receipt has no opt-out","Subscriptions",Immediate
"Charged full price after discount period","Subscriptions",High
"Trial auto-converted without reminder","Subscriptions",Medium
"Subscription renewed after death of user","Subscriptions",High
"Cancelation requires mailed letter","Subscriptions",Immediate
"Auto-renewal uses different payment method","Subscriptions",High
"Charged during account suspension","Subscriptions",Medium
"Free trial required social media post","Subscriptions",High
"Subscription renewed after 3 cancellations","Subscriptions",Immediate
"Account shows inactive but still billing","Subscriptions",High
"Auto-renewal charges higher than agreed","Subscriptions",Medium
"Charged before service activation","Subscriptions",High
"Cancelation requires in-person visit","Subscriptions",Immediate
"Renewal notification sent after charge","Subscriptions",High
"Subscription restarted after 1 year","Subscriptions",Medium
"Auto-renewal terms in hidden FAQ","Subscriptions",High
"Charged for add-on never selected","Subscriptions",Immediate
"Free trial required survey completion","Subscriptions",High
"Subscription renewed during dispute","Subscriptions",Medium
"Cancelation page asks for feedback first","Subscriptions",High
"Auto-renewal uses old card on file","Subscriptions",Immediate
"Charged after moving countries","Subscriptions",High
"Trial period changed retroactively","Subscriptions",Medium
"Subscription renewed after bank change","Subscriptions",High
"Account cancellation not synced with billing","Subscriptions",Immediate
"Auto-renewal charges tax suddenly","Subscriptions",High
"Charged during military deployment","Subscriptions",Medium
"Free trial required friend referral","Subscriptions",High
"Subscription renewed after fraud report","Subscriptions",Immediate
"Cancelation requires 30-day notice","Subscriptions",High
"Auto-renewal uses wrong currency","Subscriptions",Medium
"Charged during natural disaster","Subscriptions",High
"Trial required minimum usage hours","Subscriptions",Immediate
"Subscription renewed after bankruptcy","Subscriptions",High
"Account shows canceled but keeps billing","Subscriptions",Medium
"Auto-renewal charges processing fee","Subscriptions",High
"Charged during hospital stay","Subscriptions",Immediate
"Free trial required app download","Subscriptions",High
"Subscription renewed after death","Subscriptions",Medium
"Cancelation requires notarized form","Subscriptions",High
"Auto-renewal terms in image file","Subscriptions",Immediate
"Charged during service outage","Subscriptions",High
"Trial required credit score check","Subscriptions",Medium
"Subscription renewed after divorce","Subscriptions",High
"Account cancellation requires video call","Subscriptions",Immediate
